family,genus,group,SRLI_2024_analysis,WCVP_status,WCVP_accepted_name,WCVP_current_id,RL_2000,RL_2010,RL_2020,RL_2000_10yr,RL_2010_10yr,RL_2020_10yr,RL_2000_20yr,RL_2010_20yr,RL_2020_20yr,RL_2000_30yr,RL_2010_30yr,RL_2020_30yr,Status_change,stats_change_A
Orchidaceae,Pescatoria,Monocots,include,Accepted,Pescatoria cochlearis Rolfe,190978-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Orchidaceae,Pescatoria,Monocots,include,Accepted,Pescatoria russeliana Rchb.f.,650354-1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,No_change,No_change
Fabaceae,Petalostylis,Legumes,include,Accepted,Petalostylis labicheoides R.Br.,513171-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Phaius,Monocots,include,Accepted,Phaius corymbioides Schltr.,650390-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Orchidaceae,Phalaenopsis,Monocots,exclude,Homotypic_Synonym,Phalaenopsis pulcherrima var. regnieriana (Rchb.f.) O.Gruss & W.E.Higgins,60474041-2,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,NA,NA
Orchidaceae,Phalaenopsis,Monocots,include,Accepted,Phalaenopsis violacea H.Witte,650604-1,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU,No_change,No_change
Poaceae,Phalaris,Monocots,exclude,Heterotypic_Synonym,Phalaris arundinacea L.,415571-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Poaceae,Pharus,Monocots,include,Accepted,Pharus latifolius L.,316520-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Phaseolus,Legumes,include,Accepted,"Phaseolus polystachios (L.) Britton, Sterns & Poggenb.",192528-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Fabaceae,Phaseolus,Legumes,include,Accepted,Phaseolus xanthotrichus Piper,192605-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Araceae,Philodendron,Monocots,include,Accepted,Philodendron appunii G.S.Bunting,282617-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Araceae,Philodendron,Monocots,include,Accepted,Philodendron cotobrusense Croat & Grayum,314263-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Araceae,Philodendron,Monocots,include,Accepted,Philodendron flumineum E.G.Gonç.,319898-2,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,Not_evaluated,Not_evaluated
Araceae,Philodendron,Monocots,include,Accepted,Philodendron grandipes K.Krause,193051-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Araceae,Philodendron,Monocots,include,Accepted,Philodendron guianense Croat & Grayum,303047-2,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
Araceae,Philodendron,Monocots,include,Accepted,Philodendron hastatum K.Koch & Sello,87792-1,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,No_change,No_change
