Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Actinidia rubricaulis var. coriacea	K	-	Goldman, D. s.n.; 26599	
Actinobole uliginosum	BC	-	Christenhusz, M.J.M 7637	
Actinocheita filicina	K	-	Salinas 7503	
Actinocladum verticillatum	K	K000947592	Clark, L. 767	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000947592
Actinodaphne acuminata	-	-	-	
Actinodaphne nitida	MIN	-	Ezedin, Z. 76	
Actinodium cunninghamii	K	K000065803	Rodd, A.N.; McCarthy, J. 4984	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065803
Actinolema eryngioides	K	K000994193	Rawi; Nusi; Kass 28423	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994193
Actinorhytis calapparia	K	-	Heatubun 192	
Actinoschoenus aphyllus	K	-	Beusekom, C.F. van 4573	
Actinoscirpus grossus	-	-	-	
Actinoscirpus sp.	K	-	Simpson, D . 2660	
Actinostemma tenerum	-	-	-	
Actinostemon schomburgkii	K	-	Wood, J.R.I.;  Menacho, M. 12670	
Actinotus helianthi	K	K000370433	Hoogland, R.D. 11766	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370433
Acunniana procumbens	CANB	CANB 479909	Cowie, I.D. 4841	
Adansonia digitata	-	-	-	
Adansonia digitata	K	K001275807	Friis, I.; Hailu, A.; Getachew, E. 12630	
Adansonia gregorii	PERTH	PERTH 8798931	Sweedman, L.S.J. 8879	
Adelia ricinella	K	K000775911	Ekman, E.L. 5671	
Adelobotrys adscendens	NY	-	Michelangeli, F. A. 2145	
Adelonema picturatum	NCY	NCY020707	Ferry, G. s.n.; 1980.3.643	
Adelphacme minima	PERTH	PERTH 7810482	Bennett, M. 1151	
Adenandra uniflora	K	-	Chase, M.W. 1769	
Adenanthera pavonina	K	-	Ambriansyah & Arifin 295	
Adenarake muriculata	K	-	Maguire et al. 60447	
Adenaria floribunda	MO	-	Stevens, W.D.; Duarte, E.M. 28201	
Adenia heterophylla	BRI	BRI AQ0922485	S.L. Thompson 14718	
Adenium obesum	K	-	Chase, M.W. 727	
Adenocalymma acutissimum	K	K000976944	Hatschbach, G.; Silva, J.M. 50046	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000976944
Adenocarpus telonensis	-	-	-	
Adenocaulon chilense	HTW	-	Hidalgo, O.; Gonzalez, C. & al. AR-31	
Adenochilus nortonii	CANB	CANB 677019	J.Riley ORG2004	
Adenochloa hymeniochila	K	Unmounted	Nanjarisoa 100	
Adenocline acuta	K	-	Stalmans, M. 437	
Adenolobus pechuelii	K	K000384912	Oliver; Muller; Steenkamp 6527	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000384912
Adenophaedra megalophylla	K	-	Hareley et al. 17513	
Adenophora polyantha	-	-	-	
Adenophora stricta	K	-	RBG Kew Living Collection 1999-4308	
Adenopodia patens	K	K000556931	Sandoval, E. MS-00343	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556931
Adenosma glutinosa	DNA	DNA D0046988	Russell-Smith, J. 3378	
Adenostemma lavenia	-	-	-	
Adenostemma lavenia	CANB	CANB 496453	Cowie, I. 6659	
Adenostoma fasciculatum	K	K001393269	de la Luz, J.L.L. 6178	
Adesmia miraflorensis	K	-	Hughes et al. 2472	
Adiscanthus fusciflorus	K	K001177833	Groppo et al. 953	
Adlumia fungosa	L	-	Woudstra, Y. s.n.; 0Z2016BL00194	
Adolphia infesta	K	K000341820	Onofre, C.; Borosova, R.; Landrein, S.; Osborne, J. LCO 2615	
Adonidia merrillii	K	-	Gardiner, L. 281	
Adonis amurensis	K	-	RBG Kew Living Collection 1987-496	
Adonis amurensis	-	-	-	
Adoxa moschatellina	-	-	-	
Adriana urticoides	K	-	Lazarides, M.;  Palmer, J. 236	
Adromischus filicaulis	K	-	RBG Kew Living Collection 2001-3308	
Adrorhizon purpurascens	K	-	Chase, M.W. 15745	
Aechmea bromeliifolia	-	-	-	
Aechmea nudicaulis	-	-	-	
Aechmea zebrina	-	-	-	
Aegialitis annulata	-	-	-	
Aegialitis annulata	PERTH	PERTH 9073841	Timmins, L. s.n. 	
Aegiceras corniculatum	K	K001208618	Gardner, S.; Sidisunthorn, P. 402	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208618
Aegiceras corniculatum	-	-	-	
Aegilops sharonensis	-	-	-	
Aegilops tauschii	-	-	-	
Aeginetia indica	-	-	-	
Aegle marmelos	-	-	-	
Aegle marmelos	K	-	Chase, M.W. 1340	
Aeglopsis chevalieri	K	K000615634	Cheek et al. 13878	
Aegokeras caespitosa	K	K000994191	Davis; Coode; Yaltirik 37882	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994191
Aegonychon purpurocaeruleum	K	-	Chase, M.W. 6055	
Aegopodium podagraria	K	-	Crawley, M.J. 365	
Aeluropus pungens	-	-	-	
Aenictophyton anomalum	K	K000556890	Lazarides, M.; Palmer, J. 293	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556890
Aenictophyton reconditum	MEL	MEL 2030887A	Corrick, M.G. 11102	
Aeollanthus buchnerianus	K	-	Brummitt 10401	
Aeonium arboreum	K	K001400360	Nee, M. 43542	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400360
Aeonium gomerense	-	-	-	
Aeranthes aemula	K	K000546478	Malcomber, S.T.; Schatz, G.E. 1294	
Aeranthes grandiflora	K	-	Berg, C. van den 367	
Aeranthes schlechteri	K	-	Hermans, J., 6732	
Aerides crassifolia	K	-	Gardiner, L.  26	
Aerides houlletiana	K	-	Gardiner, L.  41	
Aerides odorata	K	-	Chase, M.W 15081	
Aerides quinquevulnera	K	-	Gardiner, L.  40	
Aerides rosea	K	-	Gardiner, L.  32	
Aerva javanica	-	-	-	
Aeschynanthus buxifolius	-	-	-	
Aeschynanthus obconicus	K	K000939321	Imin 76004	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000939321
Aeschynomene evenia	-	-	-	
Aesculus hippocastanum	K	K001069188	Chase, M.W. 35956	
Aesculus pavia	-	-	-	
Aetheolaena lingulata	QCA	-	Sklenar, P. 1448	
Aetheolaena longepenicillata	QCA	-	Gomez, L. 1442	
Aetheolaena otophora	MA	-	Garcia, F. 593	
Aethionema arabicum	-	-	-	
Aethusa cynapium	K	-	Sheahan, M-C. 84	
Aetoxylon sympetalum	K	K001275096	Ariffen, F. 9596	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275096
Aextoxicon punctatum	K	-	Chase, M.W. 33145	
Aextoxicon punctatum	-	-	-	
Afraegle asso	K	K001243700	Tchiengue, B. 3788	
Aframomum melegueta	K	-	Zuntini, A.R. s.n.; 1994-3342	
Afrobrunnichia sp.	K	K000374243	Luke, Q.; Bytebier, B. 12516	
Afrocayratia gracilis	K	K000801170	Bidgood, S; Mbago, F.; Vollesen, K. 2740	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000801170
Afrocrocus unifolius	K	-	M. de Vos 2217	
Afrofittonia silvestris	K	K001061989	Burgt, X.M. van der 1721	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001061989
Afroguatteria sp.	L	-	Couvreur, T.L.P. 563	
Afrolicania elaeosperma	K	-	Cheek, M. 8111	
Afroligusticum elliotii	K	K000994192	Newbould, J.; Jefford, T.G. 1764	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994192
Afrosciadium dispersum	MSB	-	TTSA/MSB279	
Afroscirpoides dioeca	-	-	-	
Afrostyrax kamerunensis	K	-	Senterre, B.;  Ngomo, D. 299	
Afrostyrax lepidophyllus	K	-	BR 627088	
Afrotrewia kamerunica	K	-	Peguy, T.; Elad, M.; Nnanga;  Evina 3407	
Afrotrichloris martinii	K	K001393104	Thulin, M.; Dahir, M. A.  6737	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393104
Afrotrilepis jaegeri	K	K000062341	Morton & Gledhill 1895	
Afrotrilepis pilosa	HNG	-	Larridon, I. 7	
Afzelia bella	K	-	B. Tchiengue et al. 3702	
Agalmyla chalmersii	-	-	-	
Aganosma heynei	K	K	M. S. Ramashami 1535	
Agapanthus africanus	-	-	-	
Agapanthus praecox	K	-	Niroshini, E.; Beata, K.; Solene, D. s.n.; 1969-5440	
Agapetes serpens	K	-	Chase, M.W. 877	
Agarista salicifolia	K	-	Page, W. 63	
Agastache foeniculum	-	-	-	
Agastache rugosa	-	-	-	
Agastachys odorata	NSW	NSW884696	Peter H. Weston 3584	
Agasyllis latifolia	NY	-	Shamil Shetekauri 859	
Agatea violaris	K	K000994354	Smith, A.C. 8475	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994354
Agathisanthemum chlorophyllum	NH	-	Styles, DGA 2144	
Agathosma gonaquensis	K	-	SEMJ 193	
Agave fourcroydes	-	-	-	
Agave tequilana	-	-	-	
Agdestis clematidea	-	-	-	
Agelaea paradoxa var. microcarpa	L	WAG.1498392	Jongkind, Nema-Soua;  Holié 7486	
Agelaea pentagyna	L	WAG.1440330	Nimba Bot. Team WH 1055	
Agelanthus subulatus	K	K001393213	Congdon, T.C.E. 652	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393213
Agenium leptocladum	ICN	ICN 184972	Fieker, C.Z. 13	
Ageratina gracilis	FMB	-	Diazgranados Cadelo, M. 4223	
Ageratinastrum polyphyllum	K	-	Millenium Seed Bank 324401	
Ageratum houstonianum	-	-	-	
Ageratum houstonianum	K	-	Millenium Seed Bank 232248	
Agiortia pedicellata	K	K001325309	Trapnell, G. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001325309
Aglaia macrocarpa	K	-	Trethowan 608	
Aglaia tomentosa	K	-	Greger, H. 689	
Aglaodorum griffithii	K	-	Bogner 1767	
Aglaonema costatum	K	-	Chase, M.W. 10673	
Agonandra racemosa	NY	-	Sanders 10347	
Agonis sp.	K	-	Maurin, O. 4360	
Agouticarpa hirsuta	GB	-	Persson et al. 3258	
Agrimonia pilosa	K	-	Leon, C.J., Zhang, B., Lin, Y-L., & Shaw, D 64	
Agropyron cristatum	CAN	CAN 591326	Saarela 337	
Agropyropsis lolium	K	K000345171	Kralik  7	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000345171
Agrostemma githago	-	-	-	
Agrostis australiensis	AD	AD AD178953	D.E. Murfet, A. Lowrie 4916	
Agrostis hygrometrica	K	K001418221	Parodi OR Pedersen, T.M. 7148	
Agrostis nervosa	-	-	-	
Agrostistachys hookeri	K	-	Kathriarachchi, H.S., Hoffmann, P., Galster, A. 26	
Agrostocrinum hirsutum	K	-	Dixon, K. W. 1004	
Agrostophyllum majus	K	-	Chase, M.W. O-562	
Agrostophyllum occidentale	K	-	Chase, M.W. 1828	
Agrostopoa woodii	K	K000975022	Wood, J.R.I. 5268	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000975022
Aichryson dichotomum	K	K001400359	Sprague, T.A.; Hutchinson J. 545	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400359
Aidia canthioides	K	-	Furuse 2815	
Aidia cochinchinensis	K	K000062260	Hyland, B. 4367	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000062260
Ailanthus altissima	-	-	-	
Ailanthus triphysa	CNS	QRS126785	Ford, A. s.n. 	
Ainsliaea bonatii	IBSC	-	CN-2017-28	
Aiphanes eggersii	K	-	Balslev, H.;  Kristensen 62012	
Airampoa soehrensii	K	-	RBG Kew Living Collection 1979-2803	
Airosperma sp.	K	K001275077	Sands, M.J.S. 6819	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275077
Aistopetalum viticoides	K	-	Hoogland, R.D.; Rillen, R. 5883	
Aizoon africanum	K	-	Chase, M.W. 11484	
Aizoon canariense	K	-	Elsayed & El-dzazi 78	
Aizoon cryptocarpum	K	-	Chase, M.W. 11482	
Aizoon plinthoides	K	-	Theron 531	
Ajania fruticulosa	BCN	-	Valles, J. CN-24	
Ajuga boninsimae	-	-	-	
Ajuga reptans	-	-	-	
Akania bidwillii	-	-	-	
