Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Lichtensteinia lacera	K	K000373995	Rodin, R.J. 3104	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000373995
Licuala telifera	K	K000112774	Baker, W.J. 1054	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000112774
Lignocarpa carnosula	K	K000544192	Melville, R.; Wardle, P. 5700	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000544192
Ligularia rumicifolia	-	-	-	
Ligularia sibirica	BC	BC864200	Romo, A. 14151	
Ligustrum sinense	-	-	-	
Lijndenia procteri	K	K001275162	Stone, R.D. 2240	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275162
Lilaeopsis novae-zelandiae	K	K000544193	Melville, R. 5767	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000544193
Lilium sargentiae	-	-	-	
Limacia blumei	K	-	Chase, M.W. 1322	
Limaciopsis loangensis	K	K001275711	Bytebler, B. & Luke, W.R.Q. 2751	
Limbarda crithmoides	K	-	Santos Vicente, M. & Andrés, S. 734	
Limeum aethiopicum	K	-	L Hugo 2376	
Limeum aethiopicum	-	-	-	
Limnanthes douglasii	-	-	-	
Limnas veresczaginii	K	K000913480	Veresczagin, V.J. 4764	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000913480
Limnocharis flava	-	-	-	
Limnocharis flava	K	K001097066	Chase, M.W. 16879	
Limnodea arkansana	K	-	Sin Coll. 7860	
Limnophila sp.	AD	AD170118	W.R. Barker; C. Martine 8558	
Limnopoa meeboldii	K	K001393100	Cook, C.D.K.; Camenisch, M.  5229	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393100
Limnosciadium pinnatum	NY	-	R. Date Thomas 156-687 	
Limodorum abortivum	K	-	Smith & Fraser-Jenkins 253	
Limodorum abortivum	-	-	-	
Limonia acidissima	K	K001275539	Lau, J. SING 2009-272	
Limoniastrum monopetalum	K	K000374246	Boulos, L. 19624	
Limonium arboreum	K	-	Chase, M.W. 1649	
Limonium spectabile	-	-	-	
Linaria triphylla	K	K000696153	Devey et al. s.n.; 20175	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000696153
Linaria vulgaris	-	-	-	
Lindackeria dentata	K	K001074551	Haba, P.K.; Couch, C.; Traoré, A. 231	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001074551
Lindackeria latifolia	K	K000370327	Silva, M.; Souza, R. 2265	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370327
Lindackeria paludosa	K	K000370328	Stevens, A.D.; Tillery-Stevens, M. 02-241094	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000370328
Lindackeria sp.	L	-	Wieringa, J.; Nzab 2792	
Lindackeria stipulata	BNRH	BNRH0019674	John Burrows et al. 11218	
Lindelofia anchusoides	K	-	Chase, M.W. 38131.19907	
Lindenbergia philippensis	-	-	-	
Lindera benzoin	-	-	-	
Lindernia dubia	K	K001275278	Myndel Pederson, T. 950	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275278
Lindernia intrepida	K	K001275274	Waantorp, H.; Wanntorp, H.E. 324	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275274
Linderniella brevidens	-	-	-	
Lindheimera texana	-	-	-	
Lindmania holstii	K	K001393186	Holst, B. 3539	
Lindsayomyrtus racemoides	K	-	Hyland, B. 6605	
Linnaea borealis	-	-	-	
Linnaeosicyos amara	TUM	-	Mitchell, T. C.  3	
Linochilus floribundus	QCA	-	Vargas, O.M. 496	
Linochilus phylicoides	BC	-	Christenhusz, M.J.M CO-IMG-1662	
Linochilus rupestris	QCA	-	Sklenar, P. s.n. 	
Linodendron cubanum	K	K001275116	Ekman, E.L. 2169	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275116
Linospadix palmerianus	K	-	Dowe 726	
Linostoma pauciflorum	K	K000610913	Saw, L.G. 44977	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000610913
Linum hirsutum	-	-	-	
Linum leonii	-	-	-	
Linum lewisii	-	-	-	
Linum perenne	-	-	-	
Linum tenuifolium	-	-	-	
Lipandra polysperma	K	-	Cunnell, GJ 92	
Liparia splendens	K	-	Sin Nomine 0	
Liparis loeselii	K	-	Henslow, JS s.n. 	
Liparis reflexa	CANB	CANB 668055	D.L.Jones 19232	
Liparis rhombea	-	-	-	
Lippia alba	-	-	-	
Lippia dulcis	-	-	-	
Liquidambar formosana	K	-	Leon, C.J. 588	
Liriodendron chinense	K	-	Larridon, I. IL_90002	
Liriope muscari	NCU	-	Chase, M.W. 131	
Liriope spicata	-	-	-	
Lissanthe strigosa subsp. subulata	K	K000993531	Tapson, N. 640	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000993531
Listia bainesii	K	K000556870	Germishuizen, G. 3657	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556870
Listia marlothii	K	K000556869	Giess, W. 11244	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556869
Litchi chinensis	-	-	-	
Litchi chinensis	K	-	Chase, M.W. 2131	
Lithachne pauciflora	-	-	-	
Lithocarpus fenestratus	-	-	-	
Lithocarpus polystachyus	-	-	-	
Lithomyrtus grandifolia	K	K000065830	Snow, N.; Guymer, G.; Mangion, C. 7443	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065830
Lithophragma parviflorum	K	K001275501	Sharsmith, A.K. 4403	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275501
Lithops karasmontana	NBG	-	LD52	
Lithospermum multiflorum	-	-	-	
Lithotoma petraea	AD	AD121297	P.D. Canty BS23-38942	
Litogyne gariepina	PRE	PRE573321	Koekemoer, M. 2147	
Litostigma crystallinum	-	-	-	
Litsea collina	MIN	-	Ezedin, Z. 102	
Littledalea przevalskyi	-	-	-	
Littorella uniflora	-	-	-	
Littorella uniflora	K	-	Chase, M.W. 2798	
Litwinowia tenuissima	-	-	-	
Livistona australis	K	-	Irvine, A. 1929	
Llagunoa nitida	K	-	Penningron et al. 17552	
Loasa tricolor	-	-	-	
Lobelia siphilitica	-	-	-	
Lobivia tegeleriana	ZSS	93 2403 /0	de Vos, J.M. s.n.; 93 2403 /0	
Lobostemon fruticosus	K	-	RBG Kew Living Collection 2002-438	
Lobularia maritima	-	-	-	
Lockhartia micrantha	K	-	Wood, J s.n. 	
Lodoicea maldivica	K	-	Bayton, R.P. 56	
Loeflingia hispanica	K	K001275727	Boulos, L.; Ibrahim, I.M. 17522	
Loeseliastrum matthewsii	K	K001275471	Mason, H.L. 8295	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275471
Loesenera talbotii	K	-	X. van der Burgt et al. 1133	
Loeseneriella urceolus	PRE	-	Archer, R.H. 3002	
Logfia gallica	SALA	SALA135587	SA321	
Lolium multiflorum	-	-	-	
Lolium perenne	-	-	-	
Lomandra longifolia	-	-	-	
Lomatia polymorpha	K	-	Chase, M.W. 19981	
Lomatium linearifolium	K	K000994233	Barkley, F.A. 2397	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994233
Lomatocarpa albomarginata	K	K000493579	Osborne, J. 519	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000493579
Lomatogonium longifolium	-	-	-	
Lomelosia albocincta	-	-	-	
Lonicera confusa	-	-	-	
Lonicera japonica	-	-	-	
Lopezia hirsuta	K	-	Borosova, R., Guo, Y., Landrein, S., Liu, C.;  Osborne, J. 10SC2034	
Lophacme digitata	K	K000237534	Smook, L. 1453	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000237534
Lophatherum gracile	-	-	-	
Lophatherum sinense	K	K001393095	Bai-Zhong, X.  4422	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001393095
Lophiocarpus polystachyus	K	-	B de Winter 3156	
Lophira alata	K	K000339917	Etuge, M.; Mariana, E. 5231	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000339917
Lophocereus marginatus	ZSS	85 3304 /0	de Vos, J.M. s.n.; 85 3304 /0	
Lopholaena disticha	K	-	MPU 8	
Lophomyrtus obcordata	K	K000515701	Exp. New Zealand 511	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000515701
Lophopappus cuneatus	SI	K000222372	Beck & al. 23828	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000222372
Lophopetalum arnhemicum	BRI	-	Price, W. s.n. 	
Lophophora williamsii	-	-	-	
Lophophora williamsii	K	-	RBG Kew Living Collection 1985-345	
Lophopyxis maingayi	K	K001275029	Kerenga, K. LAE 74237	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275029
Lophostemon confertus	K	K000065831	Brummitt, R.K. 20586	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065831
Lophostigma plumosum	BM	-	Brooke 5060	
Lophostoma ovatum	K	K001275117	Prance, G.T.; Coelho, L.F.; Kubitzki, K.; Maas, P.J.M. 11514	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275117
Loranthus europaeus	K	-	Chase, M.W. 14152	
Loranthus tanakae	-	-	-	
Lordhowea insularis	CBG	CBG 8201090	Telford, I.R. 8682	
Lorenzochloa erectifolia	K	K001418235	98-29-37	
Loricalepis duckei	INPA	-	Hopkins, M. 1904	
Loropetalum chinense	-	-	-	
Lorostemon bombaciflorus	K	K000648573	Ribeiro, J.E.L.S.; et al 966	
Lotus broussonetii	K	K000556915	Csiba, L.; Chase, M.W. s.n.; 1973-126	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556915
Lotus cruentus	NSW	NSW937163	J.S. Gillen JSG120	
Loudetia simplex	-	-	-	
Loudetiopsis kerstingii	-	-	-	
Louisiella elephantipes	-	-	Mulgure 4486	
Lourtella resinosa	MO	-	Nee, M.H.; Mendoza, M. 57763	
Lovoa swynnertonii	K	-	Faden & Evans 70122	
Loxocarpus incanus	K	K000611905	Rafidah, A.R. 52607	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000611905
Loxocarya cinerea	NSW	NSW784997	B.G. Briggs 9985	
Loxococcus rupicola	K	-	Baker, W.J. 1433	
Loxodera strigosa	K	K000280043	Gledhill, D. 369	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000280043
Loxodiscus coriaceus	K	-	Bradford 1136	
Loxopterygium gardneri	K	-	Pirani 2586	
Loxopterygium grisebachii	K	-	Cadrera et al. 27543	
Loxostigma griffithii	-	-	-	
Loxostylis alata	K	-	C. Pinheiro 79	
Lozanella enantiophylla	K	K001393265	Estrada, A. 2905	
Lubaria aroensis	K	K001275540	Rodriguez 293	
Lucilia kunthiana	QCA	-	Irazabal, R.J. 223	
Lucilia linearifolia	SI	-	Urtubey, E. & Freire, S.E. 427	
Lucilia nitens	SI	-	Urtubey, E. 525	
Luculia gratissima	-	-	-	
Luculia pinceana	K	-	PAFTOL_02503	
Ludia mauritiana	K	K000994356	Barthelat, F.; M'Changama, M.; Ali Sifari, B. 1463	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994356
Ludisia discolor	-	-	-	
Ludovia sp.	-	-	-	
Ludwigia octovalvis	K	-	Styles, D.G.A. 2245	
Lueckelia breviloba	K	-	Kirkbride, J.H. Jr.; Lleras, E. 2809	
Luehea grandiflora	K	K001340981	Souza 5.497	
Lueheopsis rosea	K	K001340988	Jimenez-Saa 1636	
Luetkea pectinata	K	K001393254	Goldman, D. 3462	
Luetzelburgia bahiensis	K	-	Lima, H.C. de, Faria, S.M. & Brito, H.S. 3926	
Luffa aegyptiaca	-	-	-	
Luffa sepium	TUM	-	Mitchell, T. C.  s.n. 	
Luisia taurina	K	K000546365	Lamb, A. C17	
Luisia tristis	CANB	CANB 674288	D.L.Jones 2239	
Luma apiculata	K	-	RBG Kew Living Collection Cultivated at RBGE	
Lumnitzera littorea	K	K001275233	Batianoff, G.N.; Heggel, E. 10370	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275233
Lumnitzera racemosa	-	-	-	
Lumnitzera racemosa	BNRH	-	Maurin, O. 1675	
Lunania parviflora	K	K000994361	Palacios, W. 1338	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994361
Lunaria annua	-	-	-	
Lunasia amara	K	-	Chase, M.W. 1347	
Lupinus angustifolius	-	-	-	
Lupinus angustifolius	-	-	-	
Lupinus polyphyllus	-	-	-	
Lupinus pusillus	UVSC	-	Egan, A.N. 4106	
Luronium natans	-	-	-	
Luvunga monophylla	CNS	CNS140290	Ford, A. s.n. 	
Luxemburgia octandra	K	K001202351	Forzza, R.; Pifano, D.; Sakuragui, C.M.; Aona, L.Y.S.; Edwards, S.; Zappi, D. 3713	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001202351
Luzula elegans	-	-	-	
Lycapsus tenuifolius	K	-	Kuschel s.n.; 5925	
Lychnophora salicifolia	UB	-	Faria, J.E.Q. 8180	
Lycianthes fasciculata	-	-	-	
Lycianthes sp.	BM	-	Särkinen, T. 4531	
Lycium barbarum	-	-	-	
Lycium sp.	-	-	-	
Lycochloa avenacea	K	K001418220	Davis, P.H. 6095A	
Lycomormium ecuadorense	K	-	Dodson, CH 17043	
Lycopus americanus	-	-	-	
Lycoris longituba	-	-	-	
Lydenburgia abbottii	PRE	-	Archer, R.H. 2125	
Lydenburgia cassinoides	PRE	-	Archer, R.H.; Archer, C. 2570	
Lygeum spartum	-	-	-	
Lyginia barbata	PERTH	PERTH 8992967	Meissner, R.; McCormack, C.; Langley, M. 6249	
Lygisma inflexum	M	-	Kocyan 165	
Lyonia ovalifolia	K	K001275460	Imin, K.l Nazari, A.; Wilkie, P. FRI 71767	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275460
Lyperanthus suaveolens	CANB	CANB 768446	M.A.Clements 11424	
Lyperia tristis	K	-	Manning, J.C. & Laura 2854	
Lysiana sp.	K	-	Smith, R.J., Hopper, S.D. & Sweedman, L. 243	
Lysicarpus angustifolius	K	K000065832	Forster, P.I.; Machim, P. 9374	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065832
Lysichiton camtschatcensis	K	-	Morris, S. 19	
Lysidice rhodostegia	K	-	Rickson s.n. 	
Lysiloma latisiliquum	K	K000478843	Hughes, C.E. 486	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000478843
Lysimachia arvensis	K	K001208620	Collinette, J.S. 6037	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208620
Lysimachia europaea	K	K001400106	Khakevich, S.; Buch, T. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400106
Lysimachia nummularia	K	K001208968	Milne-Redhead, G. 12053	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208968
Lysinema pentapetalum	PERTH	PERTH 9189904	Keeble, J. JK 78	
Lysionotus serratus	K	K001275933	Middleton, D.J. 5837	
Lysiosepalum abollatum	K	K001275779	Cochrane, J.A. 3717	
Lysiosepalum rugosum	PERTH	PERTH 8762996	Collins, J.M. ELA 48	
Lythrum lineare	MO	-	Longbottom, W.D. 14145	
Lythrum salicaria	K	-	Fay, M.F. 183	
Maburea trinervis	K	K001393234	Raes, N.; Rockx, L.; van der Heijden, G.; Williams, M.; Nathan, M.; Nathan, L. 13	
Macadamia integrifolia	-	-	-	
Macairea pachyphylla	NY	-	Michelangeli, F. A. 2580	
Macaranga mauritiana	K	-	Lorence, D. 2349	
Macarthuria australis	-	-	-	
Macarthuria keigheryi	K	-	Dixon, K. W. 1017	
Macbrideina peruviana	GB	-	Persson & Grández 710	
Macgregoria racemigera	BRI	-	Foster, P.I. 18881	
Machaerina glomerata	GENT	-	Argent, G 507	
Machaerina restioides	-	-	-	
Machairophyllum sp.	K	-	LD31	
Machilus salicinus	-	-	-	
Mackaya bella	K	-	Styles, D.G.A. 2562	
Mackinlaya macrosciadea	K	K000374002	Brass, L.J. 20041	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000374002
Maclaudia felixii	K	K000436899	Tchiengue, B. 2405	
Macleania insignis	K	-	Chase, M.W. 879	
Macleaya cordata	-	-	-	
Macleaya microcarpa	K	-	Chase, M.W. 40182	
Macledium zeyheri	PRE	PRE573959	Koekemoer, M. 2171	
Maclura africana	K	K000618268	Manktelow, S.J. 93027	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618268
Maclura cochinchinensis	K	K000618267	Baumann, M.G. 6841	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618267
Maclura pomifera	K	K000618269	Swann, D. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618269
Maclura tinctoria	K	K001257752	Renvoize, S.A.; Wilmot-Dear, M.; Saenz, A. 1518	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001257752
Maclurochloa montana	DEK	-	Sugumaran, M. WKM2890	
Maclurodendron porteri	K	K001275541	Loh FRI 19136	
Maclurolyra tecta	US	US00028554	Calderon, C.E. 2132	
Macoubea guianensis	K	K	D. C. Daly 1927	
Macphersonia cauliflora	MO	-	Rakotovao 3607	
Macrachaenium gracile	HTW	-	Hidalgo, O.; Gonzalez, C. & al. AR-34	
Macrocarpaea stenophylla	K	-	Weigend et al. 2000901	
Macrocentrum droseroides	NY	-	Michelangeli, F. A. 2489	
Macrocentrum fasciculatum	NY	-	Michelangeli, F. A. 2144	
Macrochloa tenacissima	K	K001418231	JAEN 860409	
Macrocnemum roseum	GB	-	Persson  & Grández 683	
Macrococculus pomifer	K	K001275718	Takeuchi, W.; Ama, D. 16230	
Macrohasseltia macroterantha	K	K000591631	Skutch, A.F. 4337	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000591631
Macrolobium bifolium	K	-	van Ogtrop 2	
Macropeplus dentatus	SPF	-	Zavatin, D. A. 100	
Macropeplus friburgensis	RB	1108540	Lirio, E.J. 1216	
Macropharynx peltata	-	-	-	
Macropidia fuliginosa	K	PERTH 8804273	Smith, R.J., Hopper, S.D. & Sweedman, L. 176	
Macropodiella heteromorpha	K	-	Ameka, G. 2070708	
Macropodium nivale	-	-	-	
Macropteranthes leichhardtii	K	-	Forster, P.I. 23805	
Macropteranthes montana	K	K001275234	Parker, M.O. 930	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275234
Macroptilium bracteatum	K	K000295462	Rico, L.; Windsor-Shaw, T.; McRobb, A.; Arroyo, L.; Arbelaez, A. 1367	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000295462
Macrosamanea discolor	K	K000868488	Wurdack, J.J.; Adderley, L.S. 42732	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000868488
Macroscepis sp.	OKLA	OKLA	Steinmann 4422	
Macrosphyra longistyla	K	-	Lowe 2199	
Macrostylis decipiens	K	K001275542	Trinder-Smith 663	
Macrotorus sp.	SPF	-	Lirio, E.J. s.n. 	
Macrotorus utriculatus	RB	1120137	Lirio, E.J. 1317	
Macrotyloma africanum	K	K000515132	Bidgood, S.; Vollesen, K. 2158	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000515132
Madhuca macrophylla	K	-	Chase, M.W. 1363	
Madia sativa	HTW	-	Gonzalez, C. 920	
Maerua glauca	US	US1991472	Robert J. Rodin 4487	
Maesa lanceolata	-	-	-	
Maesa lanceolata	K	K001016183	Luke, W.R.Q.; Luke, P.A.; Bohome, P.; Johansen, J.; Lehman, T. 11729	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001016183
Maesopsis eminii	K	-	Chase, M.W. 1338	
Magnistipula multinervia	K	-	van der Burgt, X.M. et al. 917	
Magnistipula tamenaka	K	K000865675	Randrianaivo et al. 560	
Magnistipula tessmannii	K	-	Mambo 30	
Magnolia compressa	K	-	Larridon, I. Mc	
Magnolia grandiflora	-	-	-	
Magnolia maudiae	-	-	-	
Magnolia officinalis	K	-	Larridon, I. IL_99223	
Magodendron mennyae	K	-	W. Takeuchi et al. 13348	
Magonia pubescens	K	-	Mori 16966	
Magydaris pastinacea	K	K000544194	Kennedy, E.W. 64	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000544194
Maianthemum canadense	-	-	-	
Maianthemum sp.	-	-	-	
Maihuenia poeppigii	-	-	-	
Maihuenia poeppigii	ZSS	99 3081 /0	de Vos, J.M. s.n.; 99 3081 /0	
Maihueniopsis glomerata	ZSS	10 0434 /0	de Vos, J.M. s.n. 	
Maillardia borbonica	K	K000618265	Cadet, T. 4518	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618265
Maillardia montana	K	K000618270	van Nek, F.I. 1882	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618270
Maingaya malayana	K	-	Chase, M.W. 13017	
Maireana georgei	K	-	Prendergast, HDV 28	
Maireana tomentosa	PERTH	PERTH 9184295	Huhn, P.; Macfarlane, T.D.; French, C. PS_PH_007	
Mairia purpurata	K	-	Manning, J.C. 2876	
Majidea zanguebarica	K	-	Verdcourt 2128	
Malacocarpus crithmifolius	K	-	Sheahan, M-C. s.n.; 916	
Malacocera tricornis	PERTH	PERTH 8811504	Thiele, K.R. 4515	
Malacomeles denticulata	-	-	-	
Malacothrix saxatilis	BC	-	Christenhusz, M.J.M 7910	
Malaisia scandens	K	K000618264	Sands, M.J.S. 6590	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618264
Malania oleifera	-	-	-	
Malaxis mucronulata	K	-	Sin Coll. 8860	
Malcolmia maritima	-	-	-	
Malephora crocea	NBG	-	LD30	
Malesherbia fasciculata	-	-	-	
Malesherbia linearifolia	K	K000994385	Plowman, T. 2687	
Malleastrum mandenense	K	-	Cheek et al. 3175	
Malleostemon sp.	K	K000065833	Sweedman, L.S.J. 7506	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065833
Mallophyton chimantense	K	K001275164	Huber, O. 11.494	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275164
Mallotus paniculatus	K	-	Darbyshire PJ 302	
Malmea surinamensis	L	-	Jansen-Jacobs, M.J. 6207	
Malpighia emarginata	-	-	-	
Malpighia glabra	K	K000374074	Fernandez, A. 311	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000374074
Malpighia mexicana	-	-	-	
Malus baccata	-	-	-	
Malus sylvestris	-	-	-	
Malva alcea	K	K001275827	Barta, T. s.n. 	
Malva moschata	-	-	-	
Malva setigera	K	K001275828	K001275828	
Malvastrum americanum	-	-	-	
Malvastrum americanum	CANB	CANB 385123.1	Moore, C.W.E. 8600	
Malvastrum sp.	K	K001275832	Renvoize, S.A. 3310	
Mammea americana	-	-	-	
Mammillaria candida	ZSS	16 0339 /0	de Vos, J.M. s.n. 	
Mammillaria mammillaris	ZSS	82 2337 /b	de Vos, J.M. s.n. 	
Mandragora turcomanica	BM	-	SD95	
Manekia incurva	K	K001275751	Herrera, G.; Schik, S. 3834	
Manettia pichinchensis	GB	-	Persson 3334	
Mangifera indica	-	-	-	
Mangifera odorata	GOET	-	SEMJ 023	
Mangonia tweedieana	K	-	J Bogner 2376	
Manicaria saccifera	K	-	Baker, W.J. 1181	
Manihot esculenta	-	-	-	
Manihot esculenta	K	-	Zappi, DC 2763	
Manihot grahamii	-	-	-	
Manilkara butugi	K	-	Chattey 1252	
Manilkara fasciculata	K	-	Chase, M.W. 1366	
Manilkara zapota	-	-	-	
Manisuris myurus	K	K001418259	Marayanaswamy, V. 4075	
Manjekia maturbongsii	K	-	Baker, W.J. 1336	
Manniophyton fulvum	K	-	Darbyshire, I.; Njume; Ndi; Piggot; Sabirova;  Brinklow 308	
Manostachya ternifolia	K	-	Malaisse & Robbrecht 2063	
Manotes expansa	L	WAG.1963700	Jongkind & Sambolah 13423	
Manotes macrantha	L	WAG.1441318	Jongkind, Daniels, Konie;  Gorpudolo 7088	
Mansoa alliacea	-	-	-	
Mansonia altissima	K	K001275774	Gillet, J.B. 15280	
Mantalania sambiranensis	K	-	Rakotonasolo, F. 815	
Mantisalca salmantica	BC	-	Hidalgo, O. & al. 615	
Manulea diandra	N	-	JM2897	
Mapania palustris	-	-	-	
Mappia nimmoniana	-	-	-	
Mappia racemosa	-	-	-	
Marah fabacea	M	-	Dress, W. J.  3020	
Marahuacaea schomburgkii	K	K001393197	752-334	
Maraniona lavinii	K	-	Hughes, C.E. 2209	
Maranta leuconeura	-	-	-	
Maranta parvifolia	K	-	Chase, M.W. 3913	
Maranthes corymbosa	K	-	Prance, G.T.;  N.S.Yaacob 30887	
Maranthes panamensis	K	-	Thomsen 1000	
Marantochloa purpurea	K	K001395023	Chase, M.W. 3871	
Marasmodes sp.	K	-	Forest, F. 919	
Marathrum foeniculaceum	K	-	Chase, M.W. 3090	
Marathrum foeniculaceum	-	-	-	
Marcetia taxifolia	NY	-	Michelangeli, F. A. 1263	
Marcgravia polyantha	-	-	-	
Marcgraviastrum subsessile	K	K001275437	Rubin 7	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275437
Mareya micrantha	K	K000745655	Lopez Poveda, L.; van der Burgt, X.; Kalma;  Mala, M. 199	
Mareyopsis oligogyna	K	-	Breteler, F.J.;  Jongkind, C.C.H. 10843	
Margaretta rosea subsp. rosea	K	K000993563	Fay, J.M. 2716	
Margaritaria dubium-traceyi	NE	NE89826	J.J. Bruhl 839	
Margaritaria nobilis	K	-	Lewis & Lozano 2908	
Marianthus erubescens	NSW	NSW936065	WA Herbarium WAH51a	
Marina parryi	ASU	-	WOJ 176	
Maripa scandens	K	K001275504	Sothers, C.A.; Pereira, E. da C. 680	
Markea sp.	COL	-	Orejuela, A. 169	
Markhamia zanzibarica	K	K001395046	Cook, F.; Sydes, C.; Terry, J. JT224	
Marlothiella gummifera	K	K000374003	Merxmuller, H. 2344	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000374003
Marlothistella uniondalensis	K	-	LD54	
Marojejya darianii	K	-	Baker, W.J. 1417	
Marojejya insignis	K	-	Dransfield, J.  6462	
Marquesia macroura	K	K001340974	Lisowski 740	
Marrubium vulgare	-	-	-	
Marsdenia angolensis	UBT	-	Liede & Meve 3537	
Marsdenia tenacissima	-	-	-	
Marshallia caespitosa	-	-	-	
Marshallocereus aragonii	ZSS	90 4235 /2	de Vos, J.M. s.n.; 90 4235 /2	
Marsippospermum gracile	K	K000352013	Landern, S. 53	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000352013
Marsypianthes chamaedrys	SPF	SPF00233687	Antar, G.M. 1311	
Marsypopetalum littorale	N	-	ANN120494 ,  ANN 128 128	
Martellidendron hornei	-	-	-	
Martianthus leucocephalus	SPF	SPF00231572	Paula-Souza, J. 10240	
Martinella obovata	K	K000977651	Costa, R.C.M. 255	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000977651
Martiodendron parviflorum	E	RBGE19980243	Bridgewater et al.  710	
Martynia annua	K	K001395039	Ibarra-Henriquez, G. 6639	
Martynia annua	-	-	-	
Mascagnia macradena	K	K000648547	Cuatrecasas, J.; Romero Castaneda, R. 24948	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000648547
Mascarenhasia lisianthiflora	K	-	PAFTOL_02505	
Maschalocephalus dinklagei	K	K001243521	Lebbie, A. 2631	
Maschalodesme sp.	K	K000062233	Takeuchi, W. 11188	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000062233
Masdevallia luerorum	L	-	DB7364	
Masdevallia sp.	-	-	-	
Masdevallia weberbaueri	K	-	O.A. Pérez-Escobar P32	
Masoala kona	K	-	Eiserhardt, W.L. 104 140823-3	
Massonia angustifolia	K	-	Chase, M.W. 5666	
Massonia depressa	-	-	-	
Mastersiella purpurea	K	K001275903	Campbell, B.M. 12633	
Mastigostyla woodii	K	-	Wood, J.R.I.;  Huaylla, H.;  Gutiérrez, J. 23314	
Mastixiodendron pachyclados	K	-	NGF NGF 46521	
Matayba sp.	K	-	Chase, M.W. 2132	
