Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Zamia hamannii,NE,1.61,5.16,171,765
Juniperus zanonii,NE,1.61,5.16,172,766
Picea aurantiaca,EN,1.61,11.9,173,234
Podocarpus aristulatus,NE,1.6,5.12,174,768
Zamia vazquezii,CR,1.6,5.1,175,769
Ceratozamia brevifrons,NE,1.6,5.09,176,770
Ceratozamia santillanii,NE,1.6,5.08,177,774
Podocarpus spathoides,DD,1.59,5.08,178,775
Ceratozamia hondurensis,NE,1.59,5.07,179,776
Dioon califanoi,EN,1.59,11.7,180,237
Zamia monticola,CR,1.59,5.07,181,777
Ephedra aurantiaca,NE,1.59,5.06,182,779
Podocarpus capuronii,EN,1.59,11.62,183,239
Juniperus poblana,NE,1.58,5.01,184,785
Ephedra pseudodistachya,NE,1.58,4.98,185,793
Ephedra sumlingensis,NE,1.57,4.97,186,794
Ephedra glauca,NE,1.56,4.93,187,801
Abies flinckii,NE,1.56,4.9,188,805
Ephedra trifurcata,DD,1.56,4.89,189,807
Abies numidica,CR,1.55,4.86,190,810
Podocarpus hispaniolensis,EN,1.55,11.22,191,248
Dioon holmgrenii,EN,1.55,11.22,192,249
Picea retroflexa,EN,1.54,11.12,193,253
Juniperus morrisonicola,NE,1.54,4.82,194,819
Ephedra tweedieana,NE,1.54,4.8,195,823
Ephedra gerardiana,NE,1.53,4.75,196,832
Juniperus navicularis,NE,1.53,4.74,197,834
Encephalartos inopinus,CR,1.52,4.73,198,838
Encephalartos pterogonus,CR,1.52,4.72,199,841
Ephedra brevifoliata,DD,1.52,4.7,200,843
Encephalartos flavistrobilus,NE,1.51,4.69,201,849
Ephedra botschantzevii,NE,1.51,4.67,202,852
Cycas multipinnata,EN,1.51,10.73,203,261
Juniperus seravschanica,NE,1.5,4.64,204,858
Podocarpus chingianus,DD,1.5,4.63,205,860
Dioon sonorense,EN,1.5,10.66,206,263
Juniperus tsukusiensis,NE,1.49,4.58,207,862
Juniperus mucronata,NE,1.49,4.57,208,866
Encephalartos munchii,CR,1.49,4.57,209,867
