Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Juniperus komarovii,LC,-8.64,3.52,1065,1029
Juniperus ashei,LC,-8.65,3.49,1066,1036
Podocarpus insularis,LC,-8.68,3.4,1067,1038
Juniperus monosperma,LC,-8.68,3.4,1068,1039
Juniperus deppeana,LC,-8.72,3.27,1069,1052
Macrozamia communis,LC,-8.72,3.26,1070,1053
Macrozamia polymorpha,LC,-8.72,3.26,1071,1054
Pinus lawsonii,LC,-8.73,3.25,1072,1055
Pinus teocote,LC,-8.73,3.25,1073,1056
Juniperus flaccida,LC,-8.73,3.25,1074,1057
Juniperus monticola,LC,-8.73,3.25,1075,1058
Pinus jeffreyi,LC,-8.73,3.23,1076,1060
Macrozamia diplomera,LC,-8.74,3.22,1077,1061
Macrozamia fearnsidei,LC,-8.74,3.22,1078,1062
Pinus hartwegii,LC,-8.74,3.21,1079,1063
Pinus pseudostrobus,LC,-8.74,3.21,1080,1064
Pinus luzmariae,LC,-8.74,3.19,1081,1069
Juniperus przewalskii,LC,-8.77,3.12,1082,1074
Juniperus saltuaria,LC,-8.77,3.12,1083,1075
Juniperus coahuilensis,LC,-8.77,3.1,1084,1076
Pinus cubensis,LC,-8.77,3.1,1085,1078
Pinus pringlei,LC,-8.78,3.09,1086,1079
Juniperus californica,LC,-8.8,3.02,1087,1080
Juniperus osteosperma,LC,-8.8,3.02,1088,1081
Juniperus durangensis,LC,-8.83,2.92,1089,1087
Juniperus pinchotii,LC,-8.92,2.68,1090,1090
