Site,Code,Country,Region,"Year of Identification (=date of final draft, or reviwed Version uploaded in the database)",note,Area (km2)
Mount Nissus,CAM053,CMN:Cameroon,South [Region],2023,Publication year,?
Mount Nlonako,CMNTIPA018,CMN:Cameroon,Littoral [Region],2023,Publication year,661
Mount Nlonako,,CMN:Cameroon,,18/07/2022 16:51,publish,661
Mount Oku and the Kilum-Ijim forests,CMNTIPA037,CMN:Cameroon,Northwest [Region],2023,Publication year,289
Mount Oku and the Kilum-Ijim forests,,CMN:Cameroon,,18/07/2022 16:53,publish,289
Mount Opay,CMNTIPA047,CMN:Cameroon,Far North [Region],2023,Publication year,61.4
Mount Opay,,CMN:Cameroon,,18/07/2022 17:47,publish,60
Mount Tinguelin,CMNTIPA045,CMN:Cameroon,North [Region],2023,Publication year,53
Mount Tinguelin,,CMN:Cameroon,,18/07/2022 17:52,publish,53
Mount Vokré,CMNTIPA046,CMN:Cameroon,North [Region],2023,Publication year,962
Mount Vokré,,CMN:Cameroon,,21/07/2022 10:06,publish,962
MountCameroon National Park,CMNTIPA039,CMN:Cameroon,Southwest [Region],2023,Publication year,581.78
MountCameroon National Park,,CMN:Cameroon,,18/07/2022 14:35,publish,581.78
Mozogo-Gokoro National Park,CMNTIPA050,CMN:Cameroon,Far North [Region],2023,Publication year,17.24
Mozogo-Gokoro National Park,,CMN:Cameroon,,18/07/2022 17:56,publish,17.24
Mungo and Bakossi Forest Reserves,CMNTIPA031,CMN:Cameroon,Southwest [Region],2023,Publication year,104.86
Mungo and Bakossi Forest Reserves,,CMN:Cameroon,,18/07/2022 18:00,publish,104.86
Nachtigal Falls,CAM060,CMN:Cameroon,Centre [Region],2023,Publication year,?
Ngovayang Massif,CMNTIPA001,CMN:Cameroon,South [Region],2023,Publication year,527
Ngovayang Massif,,CMN:Cameroon,,18/07/2022 18:06,publish,1035
Nguti forests,CMNTIPA043,CMN:Cameroon,Southwest [Region],2023,Publication year,1142
Nguti forests,,CMN:Cameroon,,18/07/2022 18:12,publish,1142
Ototomo Forest Reserve,CMNTIPA022,CMN:Cameroon,Centre [Region],2023,Publication year,45
Ototomo Forest Reserve,,CMN:Cameroon,,18/07/2022 18:17,publish,45
Rumpi Hills,CMNTIPA036,CMN:Cameroon,Southwest [Region],2023,Publication year,495
Rumpi Hills,,CMN:Cameroon,,18/07/2022 18:21,publish,932
Takamanda National Park,CMNTIPA051,CMN:Cameroon,Southwest [Region],2023,Publication year,676
Takamanda National Park,,CMN:Cameroon,,18/07/2022 18:26,publish,6759
Tchabal Mbabo,CMNTIPA034,CMN:Cameroon,Adamawa [Region],2023,Publication year,1650
Tello Falls,CMNTIPA019,CMN:Cameroon,Adamawa [Region],2023,Publication year,0.5
Tello Falls,,CMN:Cameroon,,18/07/2022 18:35,publish,0.5
"Tofala Hill Wildlife Sanctuary, Lebialem Highlands",CMNTIPA007,CMN:Cameroon,Southwest [Region],2023,Publication year,81
"Tofala Hill Wildlife sanctuary, Lebialem Highlands",,CMN:Cameroon,,18/07/2022 18:39,publish,15
Arsi Mountains,ETHTIPA018,ETH: Ethiopia,Oromia [Regional State],2024,Final Draft - Team info,
Arsi Mountains,,ETH: Ethiopia,,20/05/2024 12:12,publish,709
Asosa,ETHTIPA001,ETH: Ethiopia,Benishangul Gumuz [Regional State],2021,Final Draft - Team info,
Asosa,,ETH: Ethiopia,,16/12/2021 07:15,publish,629
Bale Mountains,ETHTIPA0019,ETH: Ethiopia,Oromia [Regional State],NOT YET,not finished in datbase,
Bale Mountains,,ETH: Ethiopia,,08/05/2024 10:52,publish,NULL
Bokh,ETHTIPA012,ETH: Ethiopia,Somali [Regional State],2024,Final Draft - Team info,
Bokh,,ETH: Ethiopia,,15/03/2024 12:55,publish,5061
Bonga Forests,ETHTIPA002,ETH: Ethiopia,"Southern Nations, Nationalities, and Peoples' [Regional State]",2021,Final Draft - Team info,
Bonga Forests,,ETH: Ethiopia,,16/12/2021 07:19,publish,311
Chilimo Forest,ETHTIPA003,ETH: Ethiopia,Oromia [Regional State],2021,Final Draft - Team info,
Chilimo Forest,,ETH: Ethiopia,,16/12/2021 07:22,publish,55.5
Choke Mountains,ETHTIPA013,ETH: Ethiopia,Amhara [Regional State],2024,Final Draft - Team info,
Choke Mountains,,ETH: Ethiopia,,26/04/2024 17:39,publish,5578
Entoto Hills,ETHTIPA005,ETH: Ethiopia,Oromia [Regional State],2021,Final Draft - Team info,
Entoto Hills,,ETH: Ethiopia,,16/12/2021 07:25,publish,114
Gerire Hills,ETHTIPA0015,ETH: Ethiopia,Somali [Regional State],2024,Final Draft - Team info,
Gerire Hills,,ETH: Ethiopia,,15/03/2024 13:05,publish,3924.57
Harenna Forest,ETHTIPA0020,ETH: Ethiopia,Oromia [Regional State],NOT YET,not finished in datbase,
Lele Hills,ETHTIPA0014,ETH: Ethiopia,Oromia [Regional State],2024,Final Draft - Team info,
Lower Wabi Shebelle,ETHTIPA010,ETH: Ethiopia,Somali [Regional State],2024,Final Draft - Team info,
Lower Wabi Shebelle,,ETH: Ethiopia,,15/03/2024 12:59,publish,4935
