"","powo_id","family","genus","species","taxon_name","taxon_authors","RL.cat","EDGE.median","ED.median","lifeform_description","accepted_plant_name_id","group"
"1","60468511-2","Pinaceae","Abies","alba","Abies alba","Mill.","LC",0.242812995,4.569693017,"tree",381621,"Gymnosperms"
"2","325658-2","Pinaceae","Abies","amabilis","Abies amabilis","Douglas ex J.Forbes","LC",0.090712594,1.455919453,"tree",381632,"Gymnosperms"
"3","1084057-2","Pinaceae","Abies","balsamea","Abies balsamea","(L.) Mill.","LC",0.009110381,0.140506051,"tree",381647,"Gymnosperms"
"4","676549-1","Pinaceae","Abies","beshanzuensis","Abies beshanzuensis","M.H.Wu","CR",1.942332035,2.105113574,"tree",381658,"Gymnosperms"
"5","1146685-2","Pinaceae","Abies","bracteata","Abies bracteata","(D.Don) Poit.","NT",1.113967797,9.178004,"tree",381668,"Gymnosperms"
"6","261486-1","Pinaceae","Abies","cephalonica","Abies cephalonica","Loudon","LC",0.24318899,4.09448592,"tree",381681,"Gymnosperms"
"7","676557-1","Pinaceae","Abies","chensiensis","Abies chensiensis","Tiegh.","LC",0.060108947,1.004085,"tree",381689,"Gymnosperms"
"8","261491-1","Pinaceae","Abies","cilicica","Abies cilicica","(Antoine & Kotschy) Carrière","NT",0.12872564,1.062298494,"tree",381699,"Gymnosperms"
"9","1031026-2","Pinaceae","Abies","concolor","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","LC",0.153754837,2.4277,"tree",381713,"Gymnosperms"
"10","261505-1","Pinaceae","Abies","delavayi","Abies delavayi","Franch.","LC",0.026847623,0.481030828,"tree",381727,"Gymnosperms"
"11","261506-1","Pinaceae","Abies","densa","Abies densa","Griff.","LC",0.185730123,3.33522456,"tree",381736,"Gymnosperms"
"12","676563-1","Pinaceae","Abies","durangensis","Abies durangensis","Martínez","LC",0.093048528,1.550917214,"tree",381744,"Gymnosperms"
"13","77261659-1","Pinaceae","Abies","delavayi","Abies delavayi var. fabri","(Mast.) D.R.Hunt","VU",0.176778075,0.736535,"tree",381729,"Gymnosperms"
"14","903410-1","Pinaceae","Abies","fanjingshanensis","Abies fanjingshanensis","W.L.Huang, Y.L.Tu & S.Z.Fang","EN",1.386522628,2.707705,"tree",381770,"Gymnosperms"
"15","261522-1","Pinaceae","Abies","fargesii","Abies fargesii","Franch.","LC",0.074375003,1.317234,"tree",381772,"Gymnosperms"
"16","261525-1","Pinaceae","Abies","firma","Abies firma","Siebold & Zucc.","LC",0.026043248,0.406687061,"tree",381782,"Gymnosperms"
"17","271462-2","Pinaceae","Abies","flinckii","Abies flinckii","Rushforth",NA,0.555696379,1.635337001,"tree",381783,"Gymnosperms"
"18","676570-1","Pinaceae","Abies","forrestii","Abies forrestii","Coltm.-Rog.","LC",0.075529105,1.186252,"tree",381784,"Gymnosperms"
"19","1030488-2","Pinaceae","Abies","fraseri","Abies fraseri","(Pursh) Poir.","EN",0.627304308,1.426942,"tree",381792,"Gymnosperms"
"20","1033427-2","Pinaceae","Abies","grandis","Abies grandis","(Douglas ex D.Don) Lindl.","LC",0.104959683,1.832527,"tree",381804,"Gymnosperms"
"21","676575-1","Pinaceae","Abies","guatemalensis","Abies guatemalensis","Rehder","EN",0.517979296,1.050908883,"tree",381810,"Gymnosperms"
"22","676576-1","Pinaceae","Abies","hickelii","Abies hickelii","Flous & Gaussen","EN",0.511158868,1.051225163,"tree",381821,"Gymnosperms"
"23","301448-2","Pinaceae","Abies","hidalgensis","Abies hidalgensis","Debreczy, I.Rácz & Guízar","VU",0.55976588,2.119524,"tree",381823,"Gymnosperms"
"24","261545-1","Pinaceae","Abies","holophylla","Abies holophylla","Maxim.","NT",0.207012393,1.716528,"tree",381827,"Gymnosperms"
"25","261546-1","Pinaceae","Abies","homolepis","Abies homolepis","Siebold & Zucc.","NT",0.285121764,2.255947095,"tree",381829,"Gymnosperms"
"26","77143585-1","Pinaceae","Abies","jaliscana","Abies jaliscana","(Martínez) Mantilla, Shalisko & A.Vázquez","NT",0.242735633,2.063583336,"tree",487922,"Gymnosperms"
"27","676581-1","Pinaceae","Abies","kawakamii","Abies kawakamii","(Hayata) Ito","NT",0.049914247,0.401572165,"tree",381842,"Gymnosperms"
"28","676582-1","Pinaceae","Abies","koreana","Abies koreana","E.H.Wilson","EN",0.551430483,1.20943645,"tree",381844,"Gymnosperms"
"29","1081948-2","Pinaceae","Abies","lasiocarpa","Abies lasiocarpa","(Hook.) Nutt.","LC",0.008546589,0.141222584,"tree",381853,"Gymnosperms"
"30","325664-2","Pinaceae","Abies","magnifica","Abies magnifica","A.Murray bis","LC",0.082492773,1.463224922,"tree",381868,"Gymnosperms"
